TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,i3-gaps,"is the main graphical user interface and window manager."
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,arandr,"is a UI for screen adjustment."
,xcompmgr,"for transparency and removing screen-tearing."
,dosfstools,"allows your computer to access dos-like filesystems."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,feh,"is a minimalist image viewer."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,i3blocks,"is the status bar."
,i3lock,"is the screen lock."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video/gif player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,networkmanager,"does exactly what it sounds like."
,newsboat,"is a terminal RSS client."
A,ttf-emojione,"is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio,"is the audio system (>inb4 bloat)."
,pulseaudio-alsa,"is an audio interface with ALSA."
,imagemagick,"is a terminal image-manipulator providing some ranger shortcuts and the lockscreen in LARBS."
A,htop-vim-git,"provides system usage information and displays processes."
,scrot,"can take quick screenshots at your request."
A,unclutter-xfixes-git,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xssstate,"times out the screen if locked."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,youtube-viewer,"is a terminal interface for watching YouTube videos without a browser."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-djvu,"gives zathura the ability to read .djvu files."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and other .pdf functions."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/continuedbug/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/ContinuedBug/idwm,"is my custom build of suckless's window manager"
A,nerd-fonts-complete,"Fonts"
A,brave-dev-bin,"Brave Browser"
,keepassxc,"Password Manager"
A,vscodium,"Binary releases of VS Code without MS branding/telemetry/licensing."
,nautilus,"Sometimes ranger sucks"
,ffmpegthumbnailer,"thumbnail for videos"
,vifm,"file manager"
,redshift,"cool"
,fish,"Shell"
,compton,"for transparency"
,cronie,"Cronjobs"
,rsync,"for backups"
,rclone,"for backups too"
,xorg-xsetroot,"dwm bar"
,gdb,"Debugger"
